Target Number,Thickness Factor
1,0.8680668
2,0.9284084
3,0.9719336
4,1.001521
5,1.0196515
6,1.02876
7,1.0305798
8,1.0255483
9,1.0125754
10,0.98947775
11,0.95383775
12,0.90295506
13,0.90578794
14,0.961341
15,1.0004367
16,1.0257361
17,1.0400883
18,1.0466375
19,1.0477527
20,1.0439142
21,1.0335338
22,1.0136982
23,0.9813281
24,0.9337486
25,0.93599296
26,0.9871352
27,1.0217441
28,1.0423874
29,1.0525782
30,1.0564094
31,1.0568984
32,1.0546008
33,1.0473301
34,1.0311931
35,1.0023419
36,0.9578376
37,0.95956385
38,1.0066528
39,1.0367273
40,1.0525297
41,1.0584441
42,1.0595481
43,1.0595677
44,1.05908
45,1.0551642
46,1.0429537
47,1.0176599
48,0.9760426
49,0.97731054
50,1.0206844
51,1.0464288
52,1.05762
53,1.0594767
54,1.0577536
55,1.0574117
56,1.0591979
57,1.0586624
58,1.050152
59,1.0281532
60,0.98901355
61,0.9898753
62,1.0301044
63,1.0521138
64,1.0593941
65,1.0574627
66,1.0515126
67,1.0507655
68,1.0566623
69,1.0595574
70,1.0540714
71,1.0346456
72,0.9973463
73,0.997844
74,1.0357187
75,1.0550094
76,1.0595102
77,1.0540313
78,1.0415077
79,1.0407407
80,1.0532323
81,1.0594018
82,1.0558151
83,1.0378532
84,1.001468
85,1.0016307
86,1.0381855
87,1.0560857
88,1.0592903
89,1.0518323
90,1.0367982
91,1.0367953
92,1.0518323
93,1.0592903
94,1.0560857
95,1.0381988
96,1.0016307
97,1.001468
98,1.0378397
99,1.0558158
100,1.0594018
101,1.0532302
102,1.0407457
103,1.0415027
104,1.0540287
105,1.0595102
106,1.0550107
107,1.0357326
108,0.997844
109,0.9973463
110,1.0346313
111,1.0540714
112,1.0595574
113,1.0566623
114,1.050768
115,1.0515103
116,1.0574627
117,1.0593941
118,1.0521138
119,1.0301193
120,0.9898753
121,0.98901355
122,1.0281376
123,1.0501558
124,1.0586624
125,1.0591967
126,1.0574124
127,1.0577528
128,1.0594761
129,1.05762
130,1.0464344
131,1.0207009
132,0.97731054
133,0.9760426
134,1.0176429
135,1.0429537
136,1.0551642
137,1.05908
138,1.0595676
139,1.0595483
140,1.0584441
141,1.0525297
142,1.0367273
143,1.0066713
144,0.95956385
145,0.9578376
146,1.002323
147,1.0312039
148,1.0473301
149,1.0546062
150,1.0568978
151,1.05641
152,1.0525846
153,1.0423874
154,1.0217572
155,0.98715544
156,0.93599296
157,0.9337486
158,0.9813074
159,1.0136983
160,1.0335338
161,1.0439142
162,1.0477515
163,1.0466387
164,1.0400883
165,1.0257361
166,1.0004367
167,0.9613631
168,0.90578794
169,0.90295506
170,0.9538151
171,0.98949826
172,1.0125754
173,1.025565
174,1.030578
175,1.0287615
176,1.0196697
177,1.001521
178,0.97195756
179,0.9284326
180,0.8680668
