Target Number,Thickness Factor
1,0.7447245237105792
2,0.762036667745666
3,0.8058664844091092
4,0.8821806873740377
5,0.9637673345479284
6,1.0156386617323017
7,1.0266629367242017
8,0.996656654678875
9,0.9282887252712263
10,0.8439562231556286
11,0.7814894287291018
12,0.7517740538185209
13,0.7526308548912876
14,0.790187358637575
15,0.878253228282513
16,0.9977476061110683
17,1.085756616047845
18,1.1249721174714948
19,1.1311897862942548
20,1.109101821106837
21,1.044865195563522
22,0.933609116866322
23,0.8240470120709241
24,0.7651371272451203
25,0.766570892801633
26,0.8377892451163589
27,0.9751167972602471
28,1.0998935371429062
29,1.154943746683494
30,1.166141901350821
31,1.1664350995571173
32,1.1622897768059262
33,1.128856978359604
34,1.0304148419614823
35,0.885221596423347
36,0.7859090295409256
37,0.7879671514955356
38,0.9021837741092796
39,1.0647933387347097
40,1.1547419562655767
41,1.162950363700044
42,1.141585699417749
43,1.1371395374496995
44,1.156835345148606
45,1.16385012456637
46,1.1033290208249973
47,0.9533198420410093
48,0.8132577990671553
49,0.8157083928130403
50,0.9693224068921731
51,1.1237878850342282
52,1.1659035574338827
53,1.1252041848434147
54,1.0805326502160484
55,1.0756435401327016
56,1.1123598966030814
57,1.1614353205809407
58,1.1437809444134368
59,1.0120033022453048
60,0.8427039418817873
61,0.8450402372582266
62,1.0237665845517
63,1.152967318925407
64,1.149984978481452
65,1.076335807897275
66,1.0357458034018057
67,1.0334024093249936
68,1.0666858316045023
69,1.1402892820949395
70,1.160601931412797
71,1.0517842936855142
72,0.8676114369774366
73,0.8692715132459645
74,1.0584858181307124
75,1.1634479827731437
76,1.1276745456603008
77,1.0465552642616833
78,1.0180347817061828
79,1.0173082102437894
80,1.04252419433253
81,1.12087684980487
82,1.1652803657438764
83,1.071834080306337
84,0.8819860773615079
85,0.8825831262044782
86,1.0739094350357399
87,1.165732493039164
88,1.1158514365632637
89,1.0368464435873166
90,1.0136293060453982
91,1.0136251296075447
92,1.0368464435873164
93,1.1158514365632635
94,1.165732493039164
95,1.073993065247211
96,0.8825831262044783
97,0.8819860773615077
98,1.0717498750872236
99,1.165281629439818
100,1.12087684980487
101,1.0425140725684356
102,1.0173128323474232
103,1.0180300255548886
104,1.0465416213364103
105,1.1276745456603006
106,1.1634516253231013
107,1.0585730819898067
108,0.8692715132459646
109,0.8676114369774365
110,1.0516957611611557
111,1.160601931412797
112,1.1402892820949395
113,1.0666858316045023
114,1.0334097691427055
115,1.0357381261903915
116,1.076335807897275
117,1.149984978481452
118,1.152967318925407
119,1.0238584053176927
120,0.8450402372582267
121,0.8427039418817873
122,1.0119109576101935
123,1.1438005119218162
124,1.1614353205809407
125,1.1123218418090481
126,1.0756540646744732
127,1.080522060153049
128,1.125167038004902
129,1.1659035574338827
130,1.1238191538926914
131,0.9694127629024214
132,0.8157083928130404
133,0.8132577990671553
134,0.9532317054941233
135,1.1033290208249973
136,1.16385012456637
137,1.156835345148606
138,1.1371469729438206
139,1.1415788487203038
140,1.162950363700044
141,1.1547419562655767
142,1.0647933387347097
143,0.9022600324184756
144,0.7879671514955358
145,0.7859090295409256
146,0.8851508242410613
147,1.0304799324286302
148,1.128856978359604
149,1.162305834344166
150,1.1664350150410634
151,1.1661425739339342
152,1.1549709596269102
153,1.0998935371429064
154,0.9751896807797841
155,0.8378411808671103
156,0.766570892801633
157,0.7651371272451203
158,0.824001458143981
159,0.933609116866322
160,1.044865195563522
161,1.1091018211068369
162,1.1311833522964316
163,1.1249790084341873
164,1.0857566160478451
165,0.9977476061110683
166,0.8782532282825131
167,0.7902158320040513
168,0.7526308548912876
169,0.7517740538185209
170,0.7814656322224683
171,0.8440117480843903
172,0.9282887252712261
173,0.9967527434040931
174,1.0266527555283103
175,1.0156489111846245
176,0.9638640777572306
177,0.8821806873740378
178,0.8059069202243032
179,0.7620498013757901
180,0.7447245237105792
